geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
165,222,ALDH3B2,aldehyde dehydrogenase 3 family member B2,3.1881e-13,1,0.077
169,226,ALDOA,"aldolase, fructose-bisphosphate A",0.0013228,0.631,0.615
170,229,ALDOB,"aldolase, fructose-bisphosphate B",7.8786e-07,0.623,0.538
172,231,AKR1B1,aldo-keto reductase family 1 member B,2.0216e-05,0.491,0.885
174,238,ALK,ALK receptor tyrosine kinase,3.2299e-06,0.396,0.846
175,239,ALOX12,"arachidonate 12-lipoxygenase, 12S type",1.4397e-15,0.558,0.692
176,240,ALOX5,arachidonate 5-lipoxygenase,1.2059e-06,0.447,0.885
177,241,ALOX5AP,arachidonate 5-lipoxygenase activating protein,0.070729,0.612,0.731
178,242,ALOX12B,"arachidonate 12-lipoxygenase, 12R type",0.00075626,0.603,0.577
180,245,ALOX12P2,arachidonate 12-lipoxygenase pseudogene 2,,1,0.038
181,246,ALOX15,arachidonate 15-lipoxygenase,1.1397e-23,0.502,0.846
184,249,ALPL,"alkaline phosphatase, biomineralization associated",0.0003636,0.546,0.769
186,251,ALPG,"alkaline phosphatase, germ cell",1.4933e-11,0.691,0.269
188,257,ALX3,ALX homeobox 3,0.019117,0.578,0.692
189,258,AMBN,ameloblastin,1.0497e-09,0.716,0.231
192,262,AMD1,adenosylmethionine decarboxylase 1,0.98227,0.593,0.577
194,265,AMELX,amelogenin X-linked,0.074507,0.599,0.769
195,266,AMELY,amelogenin Y-linked,8.3683e-05,0.743,0.269
196,267,AMFR,autocrine motility factor receptor,5.8368e-05,0.599,0.692
199,270,AMPD1,adenosine monophosphate deaminase 1,1.9099e-21,0.573,0.692
201,272,AMPD3,adenosine monophosphate deaminase 3,1.1323e-12,0.743,0.385
203,274,BIN1,bridging integrator 1,0.77822,0.55,0.692
204,275,AMT,aminomethyltransferase,0.0027214,0.674,0.692
211,283,ANG,angiogenin,0.28738,0.511,0.769
212,284,ANGPT1,angiopoietin 1,0.95208,0.446,0.808
213,285,ANGPT2,angiopoietin 2,0.83208,0.41,0.846
214,286,ANK1,ankyrin 1,1,0.54,0.885
215,287,ANK2,ankyrin 2,1,0.626,0.538
216,288,ANK3,ankyrin 3,1,0.578,0.654
218,290,ANPEP,"alanyl aminopeptidase, membrane",3.7492e-09,0.462,0.769
219,291,SLC25A4,solute carrier family 25 member 4,0.45334,0.568,0.692
222,301,ANXA1,annexin A1,1.2009e-07,0.442,0.885
223,302,ANXA2,annexin A2,9.7728e-05,0.453,0.808
